,Country,City,Confirmed,Recovered,Deaths,Latitude,Longtitude
253,Croatia,Vukovar-Srijem County,39,5,0,45.2283407,18.8590442
254,Croatia,Sisak-Moslavina County,34,15,0,45.333010099999996,16.491870750362253
255,Croatia,Karlovac County,29,10,1,45.2826564,15.4190997
256,Croatia,Brod-Posavina County,22,3,1,45.2444285,17.9232927
257,Croatia,Lika-Senj County,20,1,0,44.6682563,15.3225776
258,Croatia,Bjelovar-Bilogora County,12,5,0,45.7462142,16.9212335
259,Croatia,Virovitica-Podravina County,9,0,0,45.7732751,17.5789161
260,Croatia,Međimurje County,8,4,0,46.4232963,16.4661353
261,Croatia,Požega-Slavonia County,3,3,0,45.4381151,17.5133687
262,Dominican Republic,Distrito Nacional,376,242,5,18.48525785,-69.92990811529472
263,Dominican Republic,Santo Domingo Province,101,0,5,18.4801972,-69.942111
264,Dominican Republic,Santiago Province,97,3,2,19.4503932,-70.6909047
265,Dominican Republic,Duarte Province,83,0,21,19.7961218,-70.6914761
266,Dominican Republic,La Vega Province,48,0,1,19.2237411,-70.5284071
267,Dominican Republic,La Altagracia,21,0,0,18.5823788,-68.6587525
268,Dominican Republic,Puerto Plata Province,16,0,0,19.7893977,-70.6940515
269,Dominican Republic,San Pedro de Macorís Province,16,0,2,18.4601161,-69.3027395
270,Dominican Republic,Espaillat Province,15,0,0,18.4234077,-68.970927
271,Dominican Republic,La Romana Province,15,0,0,18.4272786,-68.9734597
272,Dominican Republic,Monseñor Nouel,11,0,1,18.8820257,-70.418098
273,Dominican Republic,Hermanas Mirabal Province,10,0,0,18.5024782,-69.8282914
274,Dominican Republic,Samaná Province,9,0,1,19.2055052,-69.3362252
275,Dominican Republic,San Cristóbal Province,9,0,0,18.4174531,-70.1103346
276,Dominican Republic,Sánchez Ramírez Province,7,0,0,-70.1448351,19.0176147
277,Dominican Republic,Azua Province,6,0,0,18.4532594,-70.7324011
278,Dominican Republic,María Trinidad Sánchez Province,4,0,0,18.4311321,-69.0239872
279,Dominican Republic,San Juan Province,3,0,1,18.4775792,-69.9766214
280,Dominican Republic,Barahona Province,2,0,0,18.2101889,-71.1012325
281,Dominican Republic,Hato Mayor Province,2,0,0,18.7632502,-69.2571917
282,Dominican Republic,Santiago Rodríguez Province,2,0,0,18.4745773,-69.8884978
283,Dominican Republic,Valverde Province,2,0,0,18.4861819,-69.8912617
284,Dominican Republic,Independencia Province,1,0,0,19.4530693,-70.7008841
285,Dominican Republic,Monte Cristi Province,1,0,0,19.848379,-71.6456653
286,Dominican Republic,Monte Plata Province,1,0,0,18.8100643,-69.7875354
287,Dominican Republic,Peravia Province,1,0,0,18.4927899,-69.993166
288,Dominican Republic,Baoruco Province,0,0,0,18.0766275,-71.0952214
289,Dominican Republic,Dajabón Province,0,0,0,19.5501376,-71.7039072
290,Dominican Republic,El Seibo Province,0,0,0,18.7639305,-69.0372923
291,Dominican Republic,Elías Piña Province,0,0,0,-71.6959479,18.9952542
292,Dominican Republic,Pedernales Province,0,0,0,18.0431598,-71.7432093
293,Dominican Republic,San José de Ocoa Province,0,0,0,18.546405,-70.5056703
294,Ecuador,Guayas,7391,0,242,-2.0,-80.0
295,Ecuador,Pichincha,926,0,52,-0.0584893,-78.3284371
296,Ecuador,Los Ríos Province,390,0,19,-1.5586569,-79.7542606
297,Ecuador,Manabí Province,316,0,44,-0.4,-80.3
298,Ecuador,El Oro,289,0,57,-3.5311093,-79.8333234
299,Ecuador,Azuay,273,0,11,-3.0524451,-79.2395135
300,Ecuador,Santa Elena Province,177,0,5,-2.088082,-80.51908093389801
301,Ecuador,Cañar Province,162,0,9,-2.4,-79.2
302,Ecuador,Loja,132,0,6,-4.0528506,-79.8053425
303,Ecuador,Chimborazo Province,124,0,26,-1.7511331,-78.633333
304,Ecuador,Esmeraldas Province,104,0,7,1.058611,-78.968056
305,Ecuador,Santo Domingo de los Tsáchilas Province,97,0,14,-0.2558522,-79.18443772696759
306,Ecuador,Tungurahua,82,0,9,-1.2765895,-78.4754667
307,Ecuador,Bolívar Province,59,0,7,-5.7559052,-78.4545442
308,Ecuador,Cotopaxi Province,59,0,11,-1.083333,-78.833333
309,Ecuador,Galápagos Islands,54,0,1,-0.62881505,-90.3638752022324
310,Ecuador,Imbabura Province,51,0,8,0.75,-78.416667
311,Ecuador,Carchi Province,35,0,3,0.933333,-78.5
312,Ecuador,Sucumbíos Province,35,0,1,0.166389,-76.711667
313,Ecuador,Morona-Santiago Province,31,0,0,-2.666667,-77.85
314,Ecuador,Zamora-Chinchipe Province,21,0,1,-4.1847071,-78.9364356
315,Ecuador,Pastaza Province,20,0,2,-1.47033055,-76.89132397657048
316,Ecuador,Orellana Province,12,0,0,-2.18254285,-79.8950218287101
317,Ecuador,Provincia de Napo,10,0,2,-1.8557374,-79.980994
318,Finland,Uusimaa,2630,0,0,60.2246684,25.12726308225769
319,Finland,Southwest Finland,233,0,0,60.3059485,22.414426030893356
320,Finland,Pirkanmaa,199,0,0,61.7171466,23.71571339560399
321,Finland,Northern Savonia,118,0,0,27.53039484113765,63.0883598
322,Finland,Northern Ostrobothnia,115,0,0,65.01776105,25.475309266121503
323,Finland,Central Finland,114,0,0,62.53101395,25.50568325133171
324,Finland,Lapland,68,0,0,26.728204479201416,67.69291045
325,Finland,Tavastia Proper,66,0,0,24.15319200958258,60.93769605
326,Finland,Päijänne Tavastia,65,0,0,61.1444259,25.687187045973186
327,Finland,Kainuu,48,0,0,64.59873065,28.300198845857643
328,Finland,Satakunta,48,0,0,61.592016650000005,21.779944486727153
329,Finland,Ostrobothnia,45,0,0,62.96867215,21.36251426194388
330,Finland,Southern Savonia,44,0,0,27.988204437474387,61.90173715
331,Finland,Southern Ostrobothnia,36,0,0,24.50803078031766,60.66970185
332,Finland,Kymenlaakso,33,0,0,60.7318529,27.082883965665257
333,Finland,North Karelia,23,0,0,62.8014085,30.213455302117616
334,Finland,South Karelia,14,0,0,61.26671405,28.405512513307876
335,Finland,Central Ostrobothnia,13,0,0,63.6476557,24.111411271292845
336,Germany,Bavaria,39939,0,1525,48.9467562,11.4038717
337,Germany,North Rhine-Westphalia,31106,0,1052,51.4781796,7.5542336
338,Germany,Baden-Württemberg,29792,0,1153,48.6296972,9.1949534
339,Germany,Lower Saxony,9544,0,364,52.8398531,9.075962
340,Germany,Hesse,7712,0,296,50.6118537,9.1909725
341,Germany,Rhineland-Palatinate,5731,0,136,49.9531599,7.310646
342,Germany,Berlin,5459,0,112,52.5170365,13.3888599
343,Germany,Saxony,4377,0,135,50.9295798,13.4585052
